10ClassKind	10DepthInKind	icd10Code	icd10Chapter	icd10Title	ICD-11 FoundationURI	icd11Title	2024-Jan-21
Category	2	A06.3	I	Amoeboma of intestine	http://id.who.int/icd/entity/349019849	Amoeboma of intestine	Equivalent	0
Category	2	A06.4	I	Amoebic liver abscess	http://id.who.int/icd/entity/1730350429	Amoebic liver abscess	Equivalent	0
Category	2	A06.5	I	Amoebic lung abscess	http://id.who.int/icd/entity/40419529	Amoebic lung abscess	Equivalent	0
Category	2	A06.6	I	Amoebic brain abscess	http://id.who.int/icd/entity/1992658998	Amoebic brain abscess	Equivalent	0
Category	2	A06.7	I	Cutaneous amoebiasis	http://id.who.int/icd/entity/328097188	Cutaneous amoebiasis	Equivalent	0
Category	2	A06.8	I	Amoebic infection of other sites	http://id.who.int/icd/entity/1860651234	Amoebic infection of other sites	Equivalent	0
Category	2	A06.9	I	Amoebiasis, unspecified	http://id.who.int/icd/entity/435671752	Amoebiasis	Equivalent	0
Category	1	A07	I	Other protozoal intestinal diseases	http://id.who.int/icd/entity/2092703582	Protozoal intestinal infections	Subclass	0
Category	2	A07.0	I	Balantidiasis	http://id.who.int/icd/entity/2090337975	Infections due to Balantidium coli	Equivalent	0
Category	2	A07.1	I	Giardiasis [lambliasis]	http://id.who.int/icd/entity/433310499	Giardiasis	Equivalent	0
Category	2	A07.2	I	Cryptosporidiosis	http://id.who.int/icd/entity/1837013982	Cryptosporidiosis	Equivalent	0
Category	2	A07.3	I	Isosporiasis	http://id.who.int/icd/entity/137713224	Cystoisosporiasis	Equivalent	0
Category	2	A07.8	I	Other specified protozoal intestinal diseases	http://id.who.int/icd/entity/2092703582	Protozoal intestinal infections	Subclass	-1
Category	2	A07.9	I	Protozoal intestinal disease, unspecified	http://id.who.int/icd/entity/2089071035	Protozoal colitis	Equivalent	0
Category	1	A08	I	Viral and other specified intestinal infections	http://id.who.int/icd/entity/30738976	Viral intestinal infections	Equivalent	0
Category	2	A08.0	I	Rotaviral enteritis	http://id.who.int/icd/entity/840750347	Gastroenteritis due to Rotavirus	Equivalent	0
Category	2	A08.1	I	Acute gastroenteropathy due to Norovirus	http://id.who.int/icd/entity/1465325727	Enteritis due to Norovirus	Equivalent	0
Category	2	A08.2	I	Adenoviral enteritis	http://id.who.int/icd/entity/749414717	Enteritis due to Adenovirus	Equivalent	0
Category	2	A08.3	I	Other viral enteritis	http://id.who.int/icd/entity/30738976	Viral intestinal infections	Subclass	0
Category	2	A08.4	I	Viral intestinal infection, unspecified	http://id.who.int/icd/entity/1142254576	Viral colitis	Equivalent	0
Category	2	A08.5	I	Other specified intestinal infections	http://id.who.int/icd/entity/30738976	Viral intestinal infections	Subclass	-1
Category	1	A09	I	Other gastroenteritis and colitis of infectious and unspecified origin	http://id.who.int/icd/entity/1688127370	Gastroenteritis or colitis without specification of infectious agent	Equivalent	0
Category	2	A09.0	I	Other and unspecified gastroenteritis and colitis of infectious origin	http://id.who.int/icd/entity/1688127370	Gastroenteritis or colitis without specification of infectious agent	Subclass	-1
Category	2	A09.9	I	Gastroenteritis and colitis of unspecified origin	http://id.who.int/icd/entity/1160271562	Gastroenteritis or colitis without specification of origin	Equivalent	0
Block	1	A15-A19	I	Tuberculosis	http://id.who.int/icd/entity/2072728114	Tuberculosis	Equivalent	0
Category	1	A15	I	Respiratory tuberculosis, bacteriologically and histologically confirmed	http://id.who.int/icd/entity/983550510	Respiratory tuberculosis, confirmed	Equivalent	0
Category	2	A15.0	I	Tuberculosis of lung, confirmed by sputum microscopy with or without culture	http://id.who.int/icd/entity/1912425785	Tuberculosis of lung, confirmed by sputum microscopy with or without culture	Equivalent	0
Category	2	A15.1	I	Tuberculosis of lung, confirmed by culture only	http://id.who.int/icd/entity/347504813	Tuberculosis of lung, confirmed by culture only	Equivalent	0
Category	2	A15.2	I	Tuberculosis of lung, confirmed histologically	http://id.who.int/icd/entity/1612435540	Tuberculosis of lung, confirmed histologically	Equivalent	0
Category	2	A15.3	I	Tuberculosis of lung, confirmed by unspecified means	http://id.who.int/icd/entity/89136582	Tuberculosis of lung, confirmed by unspecified means	Equivalent	0
Category	2	A15.4	I	Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically	http://id.who.int/icd/entity/1992199762	Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically or histologically	Equivalent	0
Category	2	A15.5	I	Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically	http://id.who.int/icd/entity/334840776	Tuberculosis of larynx, trachea or bronchus, confirmed bacteriologically or histologically	Equivalent	0
Category	2	A15.6	I	Tuberculous pleurisy, confirmed bacteriologically and histologically	http://id.who.int/icd/entity/1733825337	Tuberculous pleurisy, confirmed bacteriologically or histologically	Equivalent	0
Category	2	A15.7	I	Primary respiratory tuberculosis, confirmed bacteriologically and histologically	http://id.who.int/icd/entity/34856621	Primary respiratory tuberculosis, confirmed bacteriologically or histologically	Equivalent	0
Category	2	A15.8	I	Other respiratory tuberculosis, confirmed bacteriologically and histologically	http://id.who.int/icd/entity/983550510	Respiratory tuberculosis, confirmed	Subclass	0
Category	2	A15.9	I	Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically	http://id.who.int/icd/entity/983550510	Respiratory tuberculosis, confirmed	Subclass	0
Category	1	A16	I	Respiratory tuberculosis, not confirmed bacteriologically or histologically	http://id.who.int/icd/entity/1311939281	Respiratory tuberculosis, not confirmed	Equivalent	0
Category	2	A16.0	I	Tuberculosis of lung, bacteriologically and histologically negative	http://id.who.int/icd/entity/1887104263	Tuberculosis of lung, bacteriologically or histologically negative	Equivalent	0
Category	2	A16.1	I	Tuberculosis of lung, bacteriological and histological examination not done	http://id.who.int/icd/entity/355541139	Tuberculosis of lung, bacteriological or histological examination not done	Equivalent	0
Category	2	A16.2	I	Tuberculosis of lung, without mention of bacteriological or histological confirmation	http://id.who.int/icd/entity/1637642348	Tuberculosis of lung, without mention of bacteriological or histological confirmation	Equivalent	0
Category	2	A16.3	I	Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation	http://id.who.int/icd/entity/81247738	Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation	Equivalent	0
Category	2	A16.4	I	Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation	http://id.who.int/icd/entity/2000236142	Tuberculosis of larynx, trachea or bronchus, without mention of bacteriological or histological confirmation	Equivalent	0
Category	2	A16.5	I	Tuberculous pleurisy, without mention of bacteriological or histological confirmation	http://id.who.int/icd/entity/309519352	Tuberculous pleurisy, without mention of bacteriological or histological confirmation	Equivalent	0
Category	2	A16.7	I	Primary respiratory tuberculosis without mention of bacteriological or histological confirmation	http://id.who.int/icd/entity/60063379	Primary respiratory tuberculosis without mention of bacteriological or histological confirmation	Equivalent	0
Category	2	A16.8	I	Other respiratory tuberculosis, without mention of bacteriological or histological confirmation	http://id.who.int/icd/entity/882244568	Tuberculosis of the respiratory system	Subclass	0
Category	2	A16.9	I	Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation	http://id.who.int/icd/entity/882244568	Tuberculosis of the respiratory system	Subclass	0
Category	1	A17	I	Tuberculosis of nervous system	http://id.who.int/icd/entity/729372485	Tuberculosis of the nervous system	Equivalent	0
Category	2	A17.0	I	Tuberculous meningitis	http://id.who.int/icd/entity/1820468614	Tuberculous meningitis	Equivalent	0
Category	2	A17.1	I	Meningeal tuberculoma	http://id.who.int/icd/entity/164227092	Meningeal tuberculoma	Equivalent	0
Category	2	A17.8	I	Other tuberculosis of nervous system	http://id.who.int/icd/entity/729372485	Tuberculosis of the nervous system	Subclass	0
Category	2	A17.9	I	Tuberculosis of nervous system, unspecified	http://id.who.int/icd/entity/729372485	Tuberculosis of the nervous system	Equivalent	0
Category	1	A18	I	Tuberculosis of other organs	http://id.who.int/icd/entity/746680558	Tuberculosis of other systems and organs	Equivalent	0
Category	2	A18.0	I	Tuberculosis of bones and joints	http://id.who.int/icd/entity/570881596	Tuberculosis of bones or joints	Subclass	0
Category	2	A18.1	I	Tuberculosis of genitourinary system	http://id.who.int/icd/entity/1196243886	Tuberculosis of the genitourinary system	Subclass	0
Category	2	A18.2	I	Tuberculous peripheral lymphadenopathy	http://id.who.int/icd/entity/870345553	Tuberculous peripheral lymphadenopathy	Equivalent	0
Category	2	A18.3	I	Tuberculosis of intestines, peritoneum and mesenteric glands	http://id.who.int/icd/entity/1873777499	Tuberculosis of the digestive system	Subclass	0
Category	2	A18.4	I	Tuberculosis of skin and subcutaneous tissue	http://id.who.int/icd/entity/625292625	Cutaneous tuberculosis	Equivalent	0
Category	2	A18.5	I	Tuberculosis of eye	http://id.who.int/icd/entity/1074723013	Tuberculosis of eye	Equivalent	0
Category	2	A18.6	I	Tuberculosis of ear	http://id.who.int/icd/entity/883140666	Tuberculosis of ear	Equivalent	0
Category	2	A18.7	I	Tuberculosis of adrenal glands	http://id.who.int/icd/entity/1374184880	Tuberculosis of adrenal glands	Equivalent	0
Category	2	A18.8	I	Tuberculosis of other specified organs	http://id.who.int/icd/entity/746680558	Tuberculosis of other systems and organs	Subclass	0
Category	1	A19	I	Miliary tuberculosis	http://id.who.int/icd/entity/861638547	Miliary tuberculosis	Equivalent	0
Category	2	A19.0	I	Acute miliary tuberculosis of a single specified site	http://id.who.int/icd/entity/1056849595	Acute miliary tuberculosis of a single specified site	Equivalent	0
Category	2	A19.1	I	Acute miliary tuberculosis of multiple sites	http://id.who.int/icd/entity/1538650927	Acute miliary tuberculosis of multiple sites	Equivalent	0
Category	2	A19.2	I	Acute miliary tuberculosis, unspecified	http://id.who.int/icd/entity/861638547	Miliary tuberculosis	Subclass	0
Category	2	A19.8	I	Other miliary tuberculosis	http://id.who.int/icd/entity/861638547	Miliary tuberculosis	Subclass	0
Category	2	A19.9	I	Miliary tuberculosis, unspecified	http://id.who.int/icd/entity/861638547	Miliary tuberculosis	Subclass	0
Block	1	A20-A28	I	Certain zoonotic bacterial diseases	http://id.who.int/icd/entity/1935092859	Certain zoonotic bacterial diseases	Subclass	0
Category	1	A20	I	Plague	http://id.who.int/icd/entity/1596449540	Plague	Subclass	-1
Category	2	A20.0	I	Bubonic plague	http://id.who.int/icd/entity/1742025109	Bubonic plague	Equivalent	0
Category	2	A20.1	I	Cellulocutaneous plague	http://id.who.int/icd/entity/43973633	Cellulocutaneous plague	Equivalent	0
Category	2	A20.2	I	Pneumonic plague	http://id.who.int/icd/entity/1983098110	Pneumonic plague	Equivalent	0
Category	2	A20.3	I	Plague meningitis	http://id.who.int/icd/entity/326656364	Plague meningitis	Equivalent	0
Category	2	A20.7	I	Septicaemic plague	http://id.who.int/icd/entity/1596449540	Plague	Subclass	0
Category	2	A20.8	I	Other forms of plague	http://id.who.int/icd/entity/1596449540	Plague	Subclass	0
Category	2	A20.9	I	Plague, unspecified	http://id.who.int/icd/entity/1596449540	Plague	Subclass	0
Category	1	A21	I	Tularaemia	http://id.who.int/icd/entity/980168338	Tularaemia	Subclass	-1
Category	2	A21.0	I	Ulceroglandular tularaemia	http://id.who.int/icd/entity/2066610452	Ulceroglandular tularaemia	Equivalent	0
Category	2	A21.1	I	Oculoglandular tularaemia	http://id.who.int/icd/entity/510014594	Oculoglandular tularaemia	Equivalent	0
Category	2	A21.2	I	Pulmonary tularaemia	http://id.who.int/icd/entity/1791714431	Pulmonary tularaemia	Equivalent	0
Category	2	A21.3	I	Gastrointestinal tularaemia	http://id.who.int/icd/entity/260090347	Gastrointestinal tularaemia	Equivalent	0
Category	2	A21.7	I	Generalized tularaemia	http://id.who.int/icd/entity/147024512	Generalised tularaemia	Equivalent	0
Category	2	A21.8	I	Other forms of tularaemia	http://id.who.int/icd/entity/980168338	Tularaemia	Subclass	0
Category	2	A21.9	I	Tularaemia, unspecified	http://id.who.int/icd/entity/980168338	Tularaemia	Subclass	0
Category	1	A22	I	Anthrax	http://id.who.int/icd/entity/1321303663	Anthrax	Subclass	-1
Category	2	A22.0	I	Cutaneous anthrax	http://id.who.int/icd/entity/2057984300	Cutaneous anthrax	Equivalent	0
Category	2	A22.1	I	Pulmonary anthrax	http://id.who.int/icd/entity/534877374	Pulmonary anthrax	Equivalent	0
Category	2	A22.2	I	Gastrointestinal anthrax	http://id.who.int/icd/entity/1800193089	Gastrointestinal anthrax	Equivalent	0
Category	2	A22.7	I	Anthrax sepsis	http://id.who.int/icd/entity/1321303663	Anthrax	Subclass	0
Category	2	A22.8	I	Other forms of anthrax	http://id.who.int/icd/entity/1321303663	Anthrax	Subclass	0
Category	2	A22.9	I	Anthrax, unspecified	http://id.who.int/icd/entity/1321303663	Anthrax	Subclass	0
Category	1	A23	I	Brucellosis	http://id.who.int/icd/entity/730510331	Brucellosis	Subclass	-1
Category	2	A23.0	I	Brucellosis due to Brucella melitensis	http://id.who.int/icd/entity/1716687275	Brucellosis due to Brucella melitensis	Equivalent	0
Category	2	A23.1	I	Brucellosis due to Brucella abortus	http://id.who.int/icd/entity/51993663	Brucellosis due to Brucella abortus	Equivalent	0
Category	2	A23.2	I	Brucellosis due to Brucella suis	http://id.who.int/icd/entity/2008288450	Brucellosis due to Brucella suis	Equivalent	0
Category	2	A23.3	I	Brucellosis due to Brucella canis	http://id.who.int/icd/entity/318751060	Brucellosis due to Brucella canis	Equivalent	0
Category	2	A23.8	I	Other brucellosis	http://id.who.int/icd/entity/730510331	Brucellosis	Subclass	0
Category	2	A23.9	I	Brucellosis, unspecified	http://id.who.int/icd/entity/730510331	Brucellosis	Subclass	0
Category	1	A24	I	Glanders and melioidosis	http://id.who.int/icd/entity/1435254666	Certain infectious or parasitic diseases	Subclass	-1
Category	2	A24.0	I	Glanders	http://id.who.int/icd/entity/1563156715	Glanders	Equivalent	0
Category	2	A24.1	I	Acute and fulminating melioidosis	http://id.who.int/icd/entity/945827199	Acute or fulminant melioidosis	Equivalent	0
Category	2	A24.2	I	Subacute and chronic melioidosis	http://id.who.int/icd/entity/1288535424	Subacute or chronic melioidosis	Equivalent	0
Category	2	A24.3	I	Other melioidosis	http://id.who.int/icd/entity/2129350166	Melioidosis	Subclass	0
Category	2	A24.4	I	Melioidosis, unspecified	http://id.who.int/icd/entity/2129350166	Melioidosis	Subclass	0
Category	1	A25	I	Rat-bite fevers	http://id.who.int/icd/entity/1026551291	Rat-bite fevers	Subclass	-1
Category	2	A25.0	I	Spirillosis	http://id.who.int/icd/entity/1104357482	Spirillosis	Equivalent	0
Category	2	A25.1	I	Streptobacillosis	http://id.who.int/icd/entity/614000128	Streptobacillosis	Equivalent	0
Category	2	A25.9	I	Rat-bite fever, unspecified	http://id.who.int/icd/entity/1026551291	Rat-bite fevers	Subclass	0
Category	1	A26	I	Erysipeloid	http://id.who.int/icd/entity/1233304838	Erysipeloid	Subclass	-1
Category	2	A26.0	I	Cutaneous erysipeloid	http://id.who.int/icd/entity/1079281750	Localised cutaneous erysipeloid	Equivalent	0
Category	2	A26.7	I	Erysipelothrix sepsis	http://id.who.int/icd/entity/867834818	Sepsis due to Erysipelothrix without mention of septic shock	Equivalent	0
Category	2	A26.8	I	Other forms of erysipeloid	http://id.who.int/icd/entity/1233304838	Erysipeloid	Subclass	0
Category	2	A26.9	I	Erysipeloid, unspecified	http://id.who.int/icd/entity/1233304838	Erysipeloid	Subclass	0
Category	1	A27	I	Leptospirosis	http://id.who.int/icd/entity/751399056	Leptospirosis	Subclass	-1
Category	2	A27.0	I	Leptospirosis icterohaemorrhagica	http://id.who.int/icd/entity/1554792661	Leptospira infection of liver	Equivalent	0
Category	2	A27.8	I	Other forms of leptospirosis	http://id.who.int/icd/entity/751399056	Leptospirosis	Subclass	0
Category	2	A27.9	I	Leptospirosis, unspecified	http://id.who.int/icd/entity/751399056	Leptospirosis	Subclass	0
Category	1	A28	I	Other zoonotic bacterial diseases, not elsewhere classified	http://id.who.int/icd/entity/1935092859	Certain zoonotic bacterial diseases	Subclass	-1
Category	2	A28.0	I	Pasteurellosis	http://id.who.int/icd/entity/304649065	Pasteurellosis	Equivalent	0
Category	2	A28.1	I	Cat-scratch disease	http://id.who.int/icd/entity/2003001085	Cat-scratch disease	Equivalent	0
Category	2	A28.2	I	Extraintestinal yersiniosis	http://id.who.int/icd/entity/63835650	Extraintestinal yersiniosis	Equivalent	0
Category	2	A28.8	I	Other specified zoonotic bacterial diseases, not elsewhere classified	http://id.who.int/icd/entity/1935092859	Certain zoonotic bacterial diseases	Equivalent	0
Category	2	A28.9	I	Zoonotic bacterial disease, unspecified	http://id.who.int/icd/entity/1935092859	Certain zoonotic bacterial diseases	Subclass	0
Block	1	A30-A49	I	Other bacterial diseases	http://id.who.int/icd/entity/1435254666	Certain infectious or parasitic diseases	Subclass	-1
Category	1	A30	I	Leprosy [Hansen disease]	http://id.who.int/icd/entity/149072669	Leprosy	Subclass	-1
Category	2	A30.0	I	Indeterminate leprosy	http://id.who.int/icd/entity/2010059430	Indeterminate leprosy	Equivalent	0
Category	2	A30.1	I	Tuberculoid leprosy	http://id.who.int/icd/entity/310697776	Tuberculoid leprosy	Equivalent	0
Category	2	A30.2	I	Borderline tuberculoid leprosy	http://id.who.int/icd/entity/1713999823	Borderline tuberculoid leprosy	Equivalent	0
Category	2	A30.3	I	Borderline leprosy	http://id.who.int/icd/entity/56771163	Borderline leprosy	Equivalent	0
Category	2	A30.4	I	Borderline lepromatous leprosy	http://id.who.int/icd/entity/1888276943	Borderline lepromatous leprosy	Equivalent	0
Category	2	A30.5	I	Lepromatous leprosy	http://id.who.int/icd/entity/365370459	Lepromatous leprosy	Equivalent	0
Category	2	A30.8	I	Other forms of leprosy	http://id.who.int/icd/entity/149072669	Leprosy	Subclass	0
Category	2	A30.9	I	Leprosy, unspecified	http://id.who.int/icd/entity/149072669	Leprosy	Subclass	0
Category	1	A31	I	Infection due to other mycobacteria	http://id.who.int/icd/entity/1435254666	Certain infectious or parasitic diseases	Subclass	-2
Category	2	A31.0	I	Pulmonary mycobacterial infection	http://id.who.int/icd/entity/1798822437	Pulmonary infection due to non-tuberculous mycobacterium	Equivalent	0
Category	2	A31.1	I	Cutaneous mycobacterial infection	http://id.who.int/icd/entity/1057472082	Certain mycobacterial infections affecting the skin	Equivalent	0
Category	2	A31.8	I	Other mycobacterial infections	http://id.who.int/icd/entity/1435254666	Certain infectious or parasitic diseases	Subclass	-3
Category	2	A31.9	I	Mycobacterial infection, unspecified	http://id.who.int/icd/entity/1435254666	Certain infectious or parasitic diseases	Subclass	-3
Category	1	A32	I	Listeriosis	http://id.who.int/icd/entity/419706488	Listeriosis	Subclass	-1
Category	2	A32.0	I	Cutaneous listeriosis	http://id.who.int/icd/entity/1789950491	Cutaneous listeriosis	Equivalent	0
Category	2	A32.1	I	Listerial meningitis and meningoencephalitis	http://id.who.int/icd/entity/268154767	Listerial meningitis or meningoencephalitis	Equivalent	0
Category	2	A32.7	I	Listerial sepsis	http://id.who.int/icd/entity/419706488	Listeriosis	Subclass	0
Category	2	A32.8	I	Other forms of listeriosis	http://id.who.int/icd/entity/419706488	Listeriosis	Subclass	0
Category	2	A32.9	I	Listeriosis, unspecified	http://id.who.int/icd/entity/419706488	Listeriosis	Subclass	0
Category	1	A33	I	Tetanus neonatorum	http://id.who.int/icd/entity/2085616610	Tetanus neonatorum	Equivalent	0
Category	1	A34	I	Obstetrical tetanus	http://id.who.int/icd/entity/262236278	Obstetrical tetanus	Equivalent	0
Category	1	A35	I	Other tetanus	http://id.who.int/icd/entity/1793762788	Tetanus	Equivalent	0
Category	1	A36	I	Diphtheria	http://id.who.int/icd/entity/508032285	Diphtheria	Subclass	-1
Category	2	A36.0	I	Pharyngeal diphtheria	http://id.who.int/icd/entity/1347332965	Pharyngeal or tonsillar diphtheria	Equivalent	0
Category	2	A36.1	I	Nasopharyngeal diphtheria	http://id.who.int/icd/entity/889546481	Nasal diphtheria	Equivalent	0
Category	2	A36.2	I	Laryngeal diphtheria	http://id.who.int/icd/entity/1101542926	Laryngeal diphtheria	Equivalent	0
Category	2	A36.3	I	Cutaneous diphtheria	http://id.who.int/icd/entity/618920860	Cutaneous diphtheria	Equivalent	0
Category	2	A36.8	I	Other diphtheria	http://id.who.int/icd/entity/1590242739	Complications of diphtheria	Subclass	0
Category	2	A36.9	I	Diphtheria, unspecified	http://id.who.int/icd/entity/508032285	Diphtheria	Subclass	0
Category	1	A37	I	Whooping cough	http://id.who.int/icd/entity/2064398473	Whooping cough	Subclass	-1
Category	2	A37.0	I	Whooping cough due to Bordetella pertussis	http://id.who.int/icd/entity/1287021540	Whooping cough due to Bordetella pertussis	Equivalent	0
Category	2	A37.1	I	Whooping cough due to Bordetella parapertussis	http://id.who.int/icd/entity/704491122	Whooping cough due to Bordetella parapertussis	Equivalent	0
Category	2	A37.8	I	Whooping cough due to other Bordetella species	http://id.who.int/icd/entity/2064398473	Whooping cough	Subclass	0
Category	2	A37.9	I	Whooping cough, unspecified	http://id.who.int/icd/entity/2064398473	Whooping cough	Subclass	0
Category	1	A38	I	Scarlet fever	http://id.who.int/icd/entity/107294155	Scarlet fever	Equivalent	0
Category	1	A39	I	Meningococcal infection	http://id.who.int/icd/entity/1664016479	Meningococcal disease	Subclass	-1
